ajaa,saja
ud,sudah
skng,sekarang
cekot,check out
ajg,anjing
ktnya,katanya
smpe,sampai
blom,belum
tgl,tanggal
xpress,ekspress
dngrin,dengarin
klo,kalau
ky,kayak
ye,ya
sopi,shopee
Bener² ,benar-benar
grentong,gratis ongkir
dikit,sedikit
oren,jingga
bkin,bikin
pls,please
tul,betul
ANJGGGG,anjing
ANJG,anjing
napa,kenapa
ama,sama sekali
blik,balik
ny,nya
dkt,dekat
memnang,memang
min,minimal
xtra,ekstra
kenak,kena
eror,error
mulu,selalu
krn,karena
mantengin,lihatin
parahhh,parah
lsper,lapar
mih,ini
arggh,ah
kepotomgnya,kepotongnya
gegara,karena
gonlokin,goblokin
gw,saya
co,check out
bangeeeettt,banget
AMAZEDDDDD,amazed
ik,ih
sensor”,sensor-sensor
limittt,limit
paket2,paket-paket
lho,loh
taun,tahun
semnjak,semenjak
csri,cari
yach,ya
chekout,check out
cape,capek
brengski,brengsek
mangkannya,makanya
nyelem,nyelam
ywdh,yasudah
skrgg,sekarang
mak,mama
abis,habis
ud,sudah
skg,sekarang
enggaaa,engga
gtt,begitu
oriiiii,original
jugaaaa,juga
hshs,haha
w,saya
mo,mau
aing,saya
sampe2,sampai-sampai
tu,itu
jjr,jujur
"disitu""  ,disitu-situ"
kirim2,kirim-kirim
ANJRR,anjir
org2,orang-orang
sari,dari
cuman,cuma
tobat,taubat
apesi,apa sih
ni,ini
ma,sama
syopi,shopee
ama,sama
n,dan
konfir,konfirmasi
diopor² ,dioper-oper
kasihtau,kasih tau
kryawan,karyawan
standart,standar
standard,standar
dtg,datang
muternya,mutarnya
pke,pakai
pb,bank daya
ori,original
gd,tidak ada
keupdate2,kepembaruan
buyer,pembeli
bodong,palsu
segede,sebesar
komplen,komplain
gaada,tidak ada
mnding,mending
mentang² ,mentang-mentang
KL,kalau
blj,belanja
seuprit,sedikit
bangt,banget
knpsih,kenapa sih
TAUUU,tahu
cust ,pelanggan
ngira2,ngira-ngira
bgtt,banget
luuuuuu,lu
yaallaaaah,ya Allah
pelittt,pelit
sama2,sama-sama
mrk,mereka
ttp,tetap
ato,atau
anying,anjing
naon,kenapa
kekirim2,kekirim-kirim
kagak,tidak
bget,banget
pol,banget
udhh,sudah
akuudah,saya sudah
ilang,hilang
u,kamu
gils,gila
reknya,rekeningnya
keukeh,kukuh
ko,mengapa
ponk,pink
semuaaaaaa,semua
seller,penjual
xtra,ekstra
tuhan,Tuhan
tokped,tokopedia
ajggg,anjing
ntar,nanti
tbh,sejujurnya
double,rangkap dua
acc,terima
anjenk,anjing
usn,nama pengguna
makeeee,pakai
bet,banget
twt,twitter
switch,tukar
for the first time,untuk pertama kalinya
amboksing,membuka kemasan
gaaktif,tidak aktif
gara2,karena
cash,tunai
dsr,dasar
diilangin,dihilangin
sorry,maaf
with wearing black and,dengan memakai hitam dan
banGET,banget
apa2,apa-apa
sold,terjual
followup,tindak lanjut
kesian,kasihan
AslIiii,asli
fanmade goods,barang buatan penggemar
kinda appreciate if you want to share,akan menghargai jika kamu mau berbagi
adaa,ada
yi,ya
NAPA,kenapa
interface,antarmuka
kaga,tidak
tapiii,tapi
bnran,benaran
skrngg,sekarang
bngtt,banget
EMNG,emang
tida,tidak
NOTIF,notifikasi
JANCOOOOOO,jancok
d shopee,di shopee
tOLONGGGGGGGGGGG,tolong
search,cari
anjc,anjing
up to date,terkini
branded,bermerek
mix and match ,mencampurkan dan mencocokkan
pede,percaya diri
ovthinking,berpikir berlebihan
guwehhh,saya
jancooo,jancok
naek,naik
manaaa,mana
load load,memuat
helppp,tolong
afh,apa
smakin,semakin
oficial store,toko resmi
seller2,penjual-penjual
star2,bintang-bintang
spylatter,shopeepaylater
gbs,tidak bisa
restart,muat ulang
bbrp,beberapa
drakor,drama korea
PERNAAAH,pernah
DEHHH,deh
gratonggg,gratis ongkir
ak,saya
lagiiiiiiiiiiii ,lagi
free,gratis
dramak,drama
bkan,bukan
picky,pemilih
